,tweet_date,tweet_id,text,user_id,username,userLocation,followersCount,friendsCount,statusesCount,favouriteCount,verified
60,Thu Dec 13 00:14:35 +0000 2018,1073008243834679296,Yup and Nike need to send the black one to my house got me messed up having them sell out without one getting sent… https://t.co/l3ESnlakdP,101677662,Juice,"Vallejo, CA",392,369,55988,918,False
61,Thu Dec 13 00:14:36 +0000 2018,1073008246699540480,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,318257415,Paeter,It's 9:54 in FL,172,130,2872,1312,False
62,Thu Dec 13 00:14:36 +0000 2018,1073008249887027201,"RT @tclicK_: US/UK ""Fear of God x Nike"" proxies now available! 

https://t.co/JDUMWa1ufS

5 people will each receive 20 free proxies!

RT +…",1057207460337868800,Saut Enn,,17,411,720,462,False
63,Thu Dec 13 00:14:37 +0000 2018,1073008252508692481,RT @SNEAKERHAVE: Nike VaporMax Plus https://t.co/LccPUuLUKG,939213354157182976,.,BXD/ZN-RJ,1486,892,20288,14798,False
64,Thu Dec 13 00:14:38 +0000 2018,1073008256912629765,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,328442662,LetMeTellUSumthin,*Insert Witty Place Of Origin*,196,138,25601,9931,False
65,Thu Dec 13 00:14:39 +0000 2018,1073008259621998592,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,1052368950561034240,K Dot™️,,91,151,117,5897,False
66,Thu Dec 13 00:14:39 +0000 2018,1073008261618589696,"NIKE×CHANEL
めちゃめちゃ可愛い
欲しすぎるっ https://t.co/FL0pkvs52E",866532110307176449,メチャかわっ! ファッション,,265,1137,6916,24,False
67,Thu Dec 13 00:14:41 +0000 2018,1073008268140662784,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,167682024,Local Legend JGent🛠💰,Indy/SF/LA/OC☀️,1372,1067,149234,13376,False
68,Thu Dec 13 00:14:41 +0000 2018,1073008268908335105,RT @mxthxz: melhor a gente ir com calma... mas os nossos pivetes vão usar nike ou adidas?,789893422349967360,PC,,397,543,3058,2570,False
69,Thu Dec 13 00:14:41 +0000 2018,1073008268958724096,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,468755760,Bald Hermit,,830,388,53084,1498,False
70,Thu Dec 13 00:14:41 +0000 2018,1073008269390725121,"Hot Stock under Review – NIKE, Inc. (NYSE:NKE) https://t.co/j96ynf4nrd $NKE #stocks #stockmarket",953125982067679232,StockMarketScoop,,2759,3082,8707,31,False
71,Thu Dec 13 00:14:43 +0000 2018,1073008278098059266,If anyone knows someone selling Nike Sb’s lmk!!! Tryna cop as many as I can,501168269,Daniel,H-Town,333,113,64582,17529,False
72,Thu Dec 13 00:14:44 +0000 2018,1073008280442683392,RT @uhgoodkth: hoseok wore the equality nike shoes made for black history month and saluted the lgbt+ community during his last speech. he…,1064361847334363136,jay,in the clouds,6,25,819,4192,False
